name,source_fit_label
Candidate-0001,No Fit
Candidate-0002,Potential Fit
Candidate-0003,Good Fit
Candidate-0004,Potential Fit
Candidate-0005,No Fit
Candidate-0006,Good Fit
Candidate-0007,No Fit
Candidate-0008,No Fit
Candidate-0009,Potential Fit
Candidate-0010,Potential Fit
Candidate-0011,Potential Fit
Candidate-0012,Good Fit
Candidate-0013,No Fit
Candidate-0014,No Fit
Candidate-0015,Potential Fit
Candidate-0016,Good Fit
Candidate-0017,No Fit
Candidate-0018,Good Fit
Candidate-0019,Good Fit
Candidate-0020,No Fit
Candidate-0021,Good Fit
Candidate-0022,No Fit
Candidate-0023,Potential Fit
Candidate-0024,Good Fit
Candidate-0025,Potential Fit
Candidate-0026,Potential Fit
Candidate-0027,No Fit
Candidate-0028,Good Fit
Candidate-0029,No Fit
Candidate-0030,No Fit
Candidate-0031,Potential Fit
Candidate-0032,No Fit
Candidate-0033,Good Fit
Candidate-0034,No Fit
Candidate-0035,Potential Fit
Candidate-0036,Good Fit
Candidate-0037,No Fit
Candidate-0038,No Fit
Candidate-0039,Good Fit
Candidate-0040,No Fit
Candidate-0041,No Fit
Candidate-0042,No Fit
Candidate-0043,Good Fit
Candidate-0044,No Fit
Candidate-0045,Good Fit
Candidate-0046,Potential Fit
Candidate-0047,No Fit
Candidate-0048,No Fit
Candidate-0049,Potential Fit
Candidate-0050,No Fit
Candidate-0051,Good Fit
Candidate-0052,No Fit
Candidate-0053,No Fit
Candidate-0054,Potential Fit
Candidate-0055,Good Fit
Candidate-0056,Potential Fit
Candidate-0057,Potential Fit
Candidate-0058,No Fit
Candidate-0059,No Fit
Candidate-0060,Good Fit
Candidate-0061,Potential Fit
Candidate-0062,No Fit
Candidate-0063,Potential Fit
Candidate-0064,Potential Fit
Candidate-0065,No Fit
Candidate-0066,No Fit
Candidate-0067,Good Fit
Candidate-0068,No Fit
Candidate-0069,No Fit
Candidate-0070,Potential Fit
Candidate-0071,Potential Fit
Candidate-0072,Potential Fit
Candidate-0073,Potential Fit
Candidate-0074,No Fit
Candidate-0075,Good Fit
Candidate-0076,No Fit
Candidate-0077,No Fit
Candidate-0078,No Fit
Candidate-0079,Good Fit
Candidate-0080,No Fit
Candidate-0081,No Fit
Candidate-0082,Good Fit
Candidate-0083,No Fit
Candidate-0084,No Fit
Candidate-0085,Good Fit
Candidate-0086,No Fit
Candidate-0087,No Fit
Candidate-0088,No Fit
Candidate-0089,Good Fit
Candidate-0090,Good Fit
Candidate-0091,No Fit
Candidate-0092,Potential Fit
Candidate-0093,No Fit
Candidate-0094,Potential Fit
Candidate-0095,Good Fit
Candidate-0096,No Fit
Candidate-0097,No Fit
Candidate-0098,Potential Fit
Candidate-0099,Good Fit
Candidate-0100,No Fit
Candidate-0101,No Fit
Candidate-0102,No Fit
Candidate-0103,No Fit
Candidate-0104,Good Fit
Candidate-0105,Potential Fit
Candidate-0106,No Fit
Candidate-0107,No Fit
Candidate-0108,No Fit
Candidate-0109,No Fit
Candidate-0110,No Fit
Candidate-0111,No Fit
Candidate-0112,Potential Fit
Candidate-0113,No Fit
Candidate-0114,No Fit
Candidate-0115,Potential Fit
Candidate-0116,Good Fit
Candidate-0117,No Fit
Candidate-0118,No Fit
Candidate-0119,No Fit
Candidate-0120,No Fit
Candidate-0121,No Fit
Candidate-0122,Potential Fit
Candidate-0123,No Fit
Candidate-0124,No Fit
Candidate-0125,Potential Fit
Candidate-0126,Potential Fit
Candidate-0127,Potential Fit
Candidate-0128,Good Fit
Candidate-0129,No Fit
Candidate-0130,No Fit
Candidate-0131,Good Fit
Candidate-0132,No Fit
Candidate-0133,Potential Fit
Candidate-0134,No Fit
Candidate-0135,Good Fit
Candidate-0136,No Fit
Candidate-0137,Good Fit
Candidate-0138,No Fit
Candidate-0139,Good Fit
Candidate-0140,No Fit
Candidate-0141,No Fit
Candidate-0142,No Fit
Candidate-0143,Good Fit
Candidate-0144,No Fit
Candidate-0145,No Fit
Candidate-0146,Potential Fit
Candidate-0147,No Fit
Candidate-0148,Good Fit
Candidate-0149,No Fit
Candidate-0150,No Fit
Candidate-0151,Potential Fit
Candidate-0152,Potential Fit
Candidate-0153,No Fit
Candidate-0154,Good Fit
Candidate-0155,No Fit
Candidate-0156,No Fit
Candidate-0157,No Fit
Candidate-0158,No Fit
Candidate-0159,No Fit
Candidate-0160,No Fit
Candidate-0161,Potential Fit
Candidate-0162,Good Fit
Candidate-0163,Potential Fit
Candidate-0164,No Fit
Candidate-0165,No Fit
Candidate-0166,No Fit
Candidate-0167,Potential Fit
Candidate-0168,No Fit
Candidate-0169,Potential Fit
Candidate-0170,No Fit
Candidate-0171,No Fit
Candidate-0172,No Fit
Candidate-0173,No Fit
Candidate-0174,Good Fit
Candidate-0175,No Fit
Candidate-0176,Potential Fit
Candidate-0177,No Fit
Candidate-0178,No Fit
Candidate-0179,No Fit
Candidate-0180,No Fit
Candidate-0181,Good Fit
Candidate-0182,No Fit
Candidate-0183,Potential Fit
Candidate-0184,No Fit
Candidate-0185,No Fit
Candidate-0186,Good Fit
Candidate-0187,No Fit
Candidate-0188,Potential Fit
Candidate-0189,No Fit
Candidate-0190,No Fit
Candidate-0191,No Fit
Candidate-0192,Potential Fit
Candidate-0193,Good Fit
Candidate-0194,Potential Fit
Candidate-0195,No Fit
Candidate-0196,No Fit
Candidate-0197,No Fit
Candidate-0198,Good Fit
Candidate-0199,No Fit
Candidate-0200,No Fit
Candidate-0201,Good Fit
Candidate-0202,No Fit
Candidate-0203,No Fit
Candidate-0204,Potential Fit
Candidate-0205,Potential Fit
Candidate-0206,No Fit
Candidate-0207,No Fit
Candidate-0208,No Fit
Candidate-0209,No Fit
Candidate-0210,No Fit
Candidate-0211,No Fit
Candidate-0212,Potential Fit
Candidate-0213,Potential Fit
Candidate-0214,Good Fit
Candidate-0215,Good Fit
Candidate-0216,Potential Fit
Candidate-0217,Good Fit
Candidate-0218,No Fit
Candidate-0219,No Fit
Candidate-0220,No Fit
Candidate-0221,No Fit
Candidate-0222,No Fit
Candidate-0223,Potential Fit
Candidate-0224,Potential Fit
Candidate-0225,No Fit
Candidate-0226,No Fit
Candidate-0227,Potential Fit
Candidate-0228,No Fit
Candidate-0229,Good Fit
Candidate-0230,Potential Fit
Candidate-0231,Good Fit
Candidate-0232,No Fit
Candidate-0233,Good Fit
Candidate-0234,Good Fit
Candidate-0235,Potential Fit
Candidate-0236,Good Fit
Candidate-0237,No Fit
Candidate-0238,No Fit
Candidate-0239,Potential Fit
Candidate-0240,Potential Fit
Candidate-0241,No Fit
Candidate-0242,No Fit
Candidate-0243,Good Fit
Candidate-0244,Good Fit
Candidate-0245,Potential Fit
Candidate-0246,Good Fit
Candidate-0247,Good Fit
Candidate-0248,Good Fit
Candidate-0249,Potential Fit
Candidate-0250,Good Fit
Candidate-0251,No Fit
Candidate-0252,No Fit
Candidate-0253,No Fit
Candidate-0254,Good Fit
Candidate-0255,Potential Fit
Candidate-0256,No Fit
Candidate-0257,Potential Fit
Candidate-0258,Potential Fit
Candidate-0259,Potential Fit
Candidate-0260,Good Fit
Candidate-0261,Good Fit
Candidate-0262,No Fit
Candidate-0263,No Fit
Candidate-0264,Potential Fit
Candidate-0265,No Fit
Candidate-0266,Good Fit
Candidate-0267,Potential Fit
Candidate-0268,No Fit
Candidate-0269,No Fit
Candidate-0270,Good Fit
Candidate-0271,No Fit
Candidate-0272,Potential Fit
Candidate-0273,Potential Fit
Candidate-0274,Good Fit
Candidate-0275,Potential Fit
Candidate-0276,No Fit
Candidate-0277,No Fit
Candidate-0278,Potential Fit
Candidate-0279,No Fit
Candidate-0280,Good Fit
Candidate-0281,Potential Fit
Candidate-0282,No Fit
Candidate-0283,Potential Fit
Candidate-0284,Good Fit
Candidate-0285,Good Fit
Candidate-0286,No Fit
Candidate-0287,Potential Fit
Candidate-0288,No Fit
Candidate-0289,No Fit
Candidate-0290,Good Fit
Candidate-0291,Good Fit
Candidate-0292,No Fit
Candidate-0293,No Fit
Candidate-0294,No Fit
Candidate-0295,Good Fit
Candidate-0296,No Fit
Candidate-0297,Good Fit
Candidate-0298,Potential Fit
Candidate-0299,Good Fit
Candidate-0300,Good Fit
