name,headline,current_title,current_company,skills,location,years_experience,currently_open_to_work,github_handle,profile_url,certifications,open_source_contributor,volunteer_experience,education_level
Candidate-0001,Ahead trouble listen next. Former big almost recognize. We fish get.,Database Engineer,"Matthews, Perez and Miller",aws;c#;django;flask;mysql;redis;spring;sql,"Tylerland, Guinea",5.0,,github.com/wholt,linkedin.com/in/kcarter,,,,BSc
Candidate-0002,"SQL Developer specializing in writing optimized SQL queries and database management. Skilled in database design, normalization, and performance tuning.",Sql Developer,"Crawford, Maynard and Henry",angular;aws;java;mysql;ruby;sql;vue,"Sheilatown, Bermuda",2.0,,github.com/qrodriguez,linkedin.com/in/jilljohnson,,,,BSc
Candidate-0003,Technical Architect with a focus on designing complex software systems and defining technical requirements. Skilled in cloud architecture and system integration.,Technical Architect,"Garcia, Harmon and Cox",azure;c#;java;mongodb;python;redis;vue,"Joseland, Mali",6.0,,github.com/nelsonlynn,linkedin.com/in/emedina,,,,BSc
Candidate-0004,"Site Reliability Engineer with expertise in maintaining high-availability systems and automating infrastructure. Skilled in Docker, Kubernetes, and cloud services.",Site Reliability Engineer,Lee-Cardenas,angular;aws;django;mongodb;python,"South Brian, Montenegro",3.0,,github.com/maddenbarbara,linkedin.com/in/lisa60,,,,MSc
Candidate-0005,"Full-Stack Developer proficient in both front-end and back-end development. Skilled in React and Django, creating complete web applications.",Full Stack Developer,Gill PLC,aws;java;javascript;mysql;postgresql;react;spring;vue,"Kevinmouth, Guam",3.0,,github.com/trivera,linkedin.com/in/kimberlysanchez,,,,MSc
Candidate-0006,Last thus rate course child. Voice agree nice new know animal pay.,Vue Developer,Chambers Inc,aws;django;mongodb;node.js;python;vue,"Martinport, Brunei Darussalam",4.0,,github.com/gpatel,linkedin.com/in/coryhunt,,,,MSc
Candidate-0007,"Experienced Python Developer with a strong background in building scalable web applications and data pipelines. Proficient in Django, Flask, and RESTful API design.",Python Developer,Smith-Smith,aws;flask;go;mongodb;python;redis,"Jonesville, Latvia",6.0,,github.com/kylereed,linkedin.com/in/marcusmckay,,,,BSc
Candidate-0008,"Full-Stack Developer proficient in both front-end and back-end development. Skilled in React and Django, creating complete web applications.",Full Stack Developer,Williams PLC,c#;google cloud;java;javascript;oracle;postgresql;react;spring,"Yvonneport, Montserrat",3.0,,github.com/thompsonlisa,linkedin.com/in/matthew92,,,,BSc
Candidate-0009,"Platform Engineer with expertise in designing and maintaining scalable platforms for web applications. Skilled in Docker, Kubernetes, and cloud infrastructure.",Platform Engineer,Jones-Ellis,angular;aws;java;mysql;node.js;postgresql;python;spring,"Mullinsborough, Niger",5.0,,github.com/mperry,linkedin.com/in/moorescott,,,,MSc
Candidate-0010,Product certainly order few store color figure. Man him very trade shoulder fast and. East station tree see. Low happen either method. Teacher try those between.,Database Engineer,"Owens, Rogers and Lucas",angular;go;google cloud;node.js;redis;sql,"Sanchezburgh, Kuwait",5.0,,github.com/newmantammy,linkedin.com/in/lhughes,,,,MSc
Candidate-0011,"Penetration Tester with experience in ethical hacking, vulnerability assessments, and security audits. Skilled in network security and penetration testing tools.",Penetration Tester,"Perez, Bennett and Douglas",angular;azure;c++;django;postgresql;python;react,"Jenniferhaven, Japan",4.0,,github.com/smithtammie,linkedin.com/in/ramosheather,,,,BSc
Candidate-0012,"Dedicated Security Engineer with a strong background in cybersecurity, risk assessment, and incident response. Skilled in penetration testing and security audits.",Security Engineer,Patterson Ltd,google cloud;java;mysql;python;react;redis;ruby,"South Cynthiahaven, Brunei Darussalam",4.0,,github.com/mark03,linkedin.com/in/phoward,,,,BSc
Candidate-0013,Technical Architect with a focus on designing complex software systems and defining technical requirements. Skilled in cloud architecture and system integration.,Technical Architect,Mckinney Group,django;google cloud;javascript;mongodb;oracle;python,"Davidside, Timor-Leste",3.0,,github.com/gary93,linkedin.com/in/josebrown,,,,BSc
Candidate-0014,"Creative Mobile Developer specializing in iOS and Android app development. Proficient in Swift, Java, and React Native, with a focus on user-centric design principles.",Mobile Developer,"Davidson, Mejia and Jackson",azure;django;flask;java;javascript;node.js;oracle;python,"Wardberg, New Caledonia",3.0,,github.com/angel07,linkedin.com/in/simpsoncharles,,,,BSc
Candidate-0015,Others election between. Life themselves turn series large point. Analysis response moment interest than level. News ahead skill sister.,React Developer,Torres LLC,angular;google cloud;java;mongodb;node.js;react,"Karenside, Cambodia",6.0,,github.com/thomasangela,linkedin.com/in/bryanblack,,,,BSc
Candidate-0016,Man impact fall effect none live hotel walk. Happy reduce first security whether. Strong message speak appear hand degree blue.,React Developer,Brown Inc,angular;azure;node.js;python;react;redis;ruby;spring,"Williamton, Thailand",5.0,,github.com/gjones,linkedin.com/in/roblesmichael,,,,BSc
Candidate-0017,"Platform Engineer with expertise in designing and maintaining scalable platforms for web applications. Skilled in Docker, Kubernetes, and cloud infrastructure.",Platform Engineer,Mejia-Thomas,aws;django;go;node.js;oracle;python;redis;ruby,"Pittmanton, Cayman Islands",4.0,,github.com/brooksjennifer,linkedin.com/in/michaelmoore,,,,MSc
Candidate-0018,Embedded Systems Engineer with experience in designing and developing embedded solutions for IoT devices and microcontrollers.,Embedded Systems Engineer,Bowen-Robertson,angular;azure;c;django;go;java;mongodb;postgresql;python,"West Jamesmouth, Belize",6.0,,github.com/cwright,linkedin.com/in/huntjesse,,,,MSc
Candidate-0019,,Java Developer,Xoriant Solutions Pvt Ltd,c;c++;ext js;java;jsp;ms-access;ms-excel;ms-sql;oracle;pl/sql;sql,"Gondia, India",9.0,,,,,,,B.E.
Candidate-0020,Detail-oriented Java Developer specializing in backend systems and microservices architecture. Skilled in Spring Boot and designing robust enterprise solutions.,Java Developer,Long-Carey,angular;aws;go;java;javascript;mysql;oracle;react;ruby,"Thomasport, Papua New Guinea",4.0,,github.com/leroybyrd,linkedin.com/in/ericksonronald,,,,BSc
Candidate-0021,"Backend Developer specializing in building scalable and efficient server-side applications. Skilled in Python, Django, and RESTful API design.",Backend Developer,Brandt-Cross,aws;c++;flask;mongodb;oracle;python;react;ruby,"Port Robert, Swaziland",6.0,,github.com/nsmith,linkedin.com/in/wtorres,,,,MSc
Candidate-0022,"Flutter Developer specializing in mobile app development and user experience design. Skilled in Dart, Flutter SDK, and cross-platform development.",Flutter Developer,Lee-Schmidt,angular;azure;dart;django;go;mongodb;mysql;node.js;python;ruby,"Tiffanyshire, Italy",5.0,,github.com/xgonzalez,linkedin.com/in/georgelane,,,,BSc
Candidate-0023,"Passionate Deep Learning Engineer with expertise in neural network design, training, and optimization. Skilled in TensorFlow, PyTorch, and computer vision.",Deep Learning Engineer,Hanna-Patel,google cloud;mongodb;python;redis;ruby;vue,"Brianport, British Indian Ocean Territory (Chagos Archipelago)",3.0,,github.com/brandonjohnson,linkedin.com/in/nancycarson,,,,MSc
