name,headline,current_title,current_company,skills,location,years_experience,currently_open_to_work,github_handle,profile_url,certifications,open_source_contributor,volunteer_experience,education_level
Candidate-0001,"Professional SummaryRELATED KNOWLEDGE AND SKILLS Advanced knowledge of SQL, MS Excel, machine learning ,tableau , technical writing and data",,,excel;go;machine learning;sql;tableau,,,,,,,,,MS
Candidate-0002,"Professional SummaryHighly skilled software development professional bringing more than 4 years in software design, development and integrat",,,angular;docker;gcp;git;go;google cloud;java;javascript;k8s;microservices;mongodb;node.js;postgres;postgresql;python;react;redis;spring;sql;tableau;tensorflow;typescript,,4.0,,,,,,,BS
Candidate-0003,SUMMARYI am a full-stack developer with excellent communication and coordination skills and a passion for design. EXPERIENCESoftware Enginee,,,aws;c#;c++;excel;git;java;javascript;kafka;node.js;postgres;postgresql;python;rest api;spring;sql,,,,,,,,,
Candidate-0004,"Professional SummaryAccountant with more than 8 years accounting experience with profit making ,non for profit and non-governmental organiza",,,excel;go,,8.0,,,,,,,
Candidate-0005,Professional SummaryEnergetic Data Engineer in developing robust code for high-volume businesses. Strong decision-maker with 6 years of expe,,,aws;c#;excel;git;go;hadoop;jenkins;kafka;machine learning;python;spark;sql,,6.0,,,,,,,MS
Candidate-0006,"SummarySeeking an Accountant position that utilizes my technical skills and experience to support accounting operations, and to ensure the c",,,excel;go,,,,,,,,,MS
Candidate-0007,SummaryTo seek employment as a Project Engineer in my desired field ( Full time / Part Time) HighlightsA competent Project Engineer with exc,,,excel;go,,,,,,,,,MS
Candidate-0008,"SummaryLogical Data Analyst skilled in requirement analysis, software development and database management. Self-directed and proactive profe",,,excel;go;machine learning;python;spring;sql,,5.0,,,,,,,MS
Candidate-0009,"SummaryQuality Assurance - Analyst9+ years Tandem based testing/implementation exposure. Talented in analysis, issue resolving and testing n",,,go,,9.0,,,,,,,Associate
Candidate-0010,"SummaryFinancial Accountant specializing in financial planning, reporting and analysis in both private and public sectors.Well-informed acco",,,excel;go,,,,,,,,,BS
Candidate-0011,"SummaryEnergetic and PersonableAdministrative Assistantwith 5 years experience in high-level executive support roles, who maintains open lin",,,excel;go,,5.0,,,,,,,MS
Candidate-0012,Career OverviewSeeking a job where I can effectively utilize my academic knowledge and learn new skills to continually enhance the developme,,,c#;excel;git;go;sql,,,,,,,,,MS
Candidate-0013,SummaryI am an Automation Developer with a love for troubleshooting and electronics. This passion for automation started at Micro Center in,,,git;go;java;javascript;linux;nodejs;postgres;postgresql;python;spark;sql;tableau,,,,,,,,,MS
Candidate-0014,SummarySelf-motivated Data Engineer offering 5 years of leadership experience across various industries. Methodical with significant experie,,,excel;go;salesforce;sql;tableau,,5.0,,,,,,,MS
